"section","url","type"
"Corrections","https://www.justice.gov/media/1154131/dl?inline","Media"
"Corrections","https://www.justice.gov/d9/2023-08/doc_71_second_amended_complaint.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/tutwiler_findings_1-17-14.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/tutwiler_complaint_5-28-15.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/tutwiler_agreement_6-18-15.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/MCMJ_findlet_01-15-09.pdf","PDF"
"Corrections","https://www.justice.gov/media/784636/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/sebastian_findlet_5-9-06.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/sebastian_moa.pdf","PDF"
"Corrections","https://www.justice.gov/media/1137406/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/coleman_soi_8-9-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/coleman_us-resp_11-12-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/coleman_order_11-15-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/lajails_compltr_6-4-14.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/mitchell_soi_10-18-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/ocj_investletter_3-4-14.pdf","PDF"
"Corrections","https://www.justice.gov/media/1164191/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1384631/dl?inline","Media"
"Corrections","https://www.justice.gov/media/1111601/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/Miami-Dade_findlet_8-24-11.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/miami-dade_complaint_5-1-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/miami-dade_agreement_5-1-13.pdf","PDF"
"Corrections","https://www.justice.gov/media/1163571/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1372751/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1372736/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/muscogee_moa_1-16-15.pdf","PDF"
"Corrections","https://www.justice.gov/media/1052996/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/guam_settlement_5-29-91.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/oahu_center_findlet_3-14-07.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/OCCC_complaint_12-29-08.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/OCCC_settlement_12-30-08.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/CookCountyJail_findingsletter_7-11-08.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/CookCountyJail_AgreedOrder_05-13-2010.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/Lake_County_Jail_findlet_12-07-09.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/LakeCountyJail_Complaint_12-3-10.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/lake_co_jail_settle_12-03-10.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/topeka_findings_9-6-12.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/topeka_agreement_12-22-14.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/grant_county_findlet_5-18-05.pdf","PDF"
"Corrections","https://www.justice.gov/media/991026/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/angela_soi_8-2-13.pdf","PDF"
"Corrections","https://www.justice.gov/media/1269731/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/parish_findlet.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/parish_update_4-23-12.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/opp_consentjudg_6-6-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/opp_agreement_span_6-6-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/tammany_findings_7-12-12.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/tammany_mou_8-15-13.pdf","PDF"
"Corrections","https://www.justice.gov/media/1079116/dl?inline","Media"
"Corrections","https://www.justice.gov/media/1289391/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/baltimore_detention_center_mou_1-16-07.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/bcdc_moaextension_4-11-12.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/bcdc_comp_2-19-15.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/hinds_findings_5-21-15.pdf","PDF"
"Corrections","https://www.justice.gov/media/1219871/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1340266/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1340191/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1340196/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/media/1368591/dl?inline","Media"
"Corrections","https://www.justice.gov/media/1293896/dl?inline","Media"
"Corrections","https://www.justice.gov/media/1159886/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/Erie_findlet_redact_07-15-09.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/US_v_Erie_AmendedComplaint_07-23-10.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/erie_suicide_mh_settlement_06-18-2010.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/Erie_settle_8-18-11.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/Westchester_findlet_11-19-09.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/franklin_complaint_11-8-10.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/franklin_settle_2-4-11.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/OKCounty_Jail_findlet_073108.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/OklahomaCountyJail_MOU_11-05-09.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/pdoc_finding_2-24-14.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/cresson_findings_5-31-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/scip_closingletter_1-8-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/robertson_co_findlet_8-26-11.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/robertson_complaint_4-26-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/robertson_agreement_4-30-13.pdf","PDF"
"Corrections","https://www.justice.gov/crt/media/1364606/dl?inline","Media"
"Corrections","https://www.justice.gov/crt/about/spl/documents/dallas_county_findlet_12-8-06.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/dallas_county_comp_9-11-07.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/dallas_county_order_11-06-07.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/dallas_mou_3-21-12.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/harris_county_jail_findlet_060409.pdf","PDF"
"Corrections","https://www.justice.gov/crt/about/spl/documents/GoldenGrove_ConsentDecree_12-1-86.pdf","PDF"
